Q. 5) Use VLOOKUP to Get Production Information.,,,,,,,,,,,
Task: Create a table where you can look up the sales amount for any given product on a specific date.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Product,Region,Sales Amount,Date,VLOOKUP,,,,,,
,Product A,North,1200,1/1/2024,1200,,,,,,
,Product B,South,1500,1/2/2024,1500,,,,,,
,Product C,East,800,1/3/2024,800,,,,,,
,Product D,West,700,1/4/2024,700,,,,,,
,Product A,North,1100,1/5/2024,1200,,,,,,
,Product B,South,1400,1/6/2024,1500,,,,,,
,Product C,East,900,1/7/2024,800,,,,,,
,Product D,West,850,1/8/2024,700,,,,,,
,Product A,North,1300,1/9/2024,1200,,,,,,
,Product B,South,1600,1/10/2024,1500,,,,,,
